,Line,Date,Shift,NoJig,Std Load,ItemCode,Description,Insp(B/H),OK(B/H),NG(B/H),Warna,Buram,Berbayang,Kotor,Tdk Terplating,Rontok/ Blister,Tipis/ EE No Plating,Flek Kuning,Terbakar,Watermark,Jig Mark/ Renggang,Lecet/ Scratch,Seret,Flek Hitam,Flek Tangan,Belang/ Dempet,Bintik,Kilap,Tebal,Flek Putih,Spark,Kotor H/ Oval,Terkikis/ Crack,Dimensi/ Penyok,MTL/ SLipMelintir,Kategori,Month,Cust_ID,Tot_NG,NG%
679,Rack 1,2024-07-08T00:00:00.000,2,1.24.2.3.12,540,IMN BRA L FR K3HA,Bracket L. Fr. 45110-K3HA-B000,1,0.8778,0.1222,0.02962962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09259259259259259,0,0,0,0,0,,Jul,IMN,0.12222222222222222,12.222222222222221
680,Rack 1,2024-07-08T00:00:00.000,2,1.24.16.21.23,480,IMN LEV PAR D40L LH,Lever Parking D40L LH (52-42355-34510) BLACK,0.9375,0.9125,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,,Jul,IMN,0.025,2.666666666666667
681,Rack 1,2024-07-08T00:00:00.000,2,1.14.3.7.14,480,YEID YOK 5D9,Yoke 5D9-H181J-01,1,0.9625,0.0375,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,YEID,0.0375,3.75
696,Rack 1,2024-07-08T00:00:00.000,1,1.24.16.21.23,480,IMN LEV PAR D40L RH,Lever Parking D40L RH (52-42355-44510) BLACK,1,0.9854,0.0146,0,0,0,0,0.004166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416666666666666,0,0,0,0,0,,Jul,IMN,0.014583333333333334,1.4583333333333333
721,Rack 1,2024-07-08T00:00:00.000,2,1.18.5.1.3,864,SSY PED 2PBH,Pedal 2PHB 14K148,0.7106,0.7106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,SSY,0,0
722,Rack 1,2024-07-08T00:00:00.000,2,1.18.5.1.3,960,CTA LOC NUT 410-80,Lock Nut HKSP2-410-80,0.2604,0.2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,CTA,0,0
723,Rack 1,2024-07-08T00:00:00.000,2,1.24.6.20.5,480,IMN LEV PAR D40D LH,Lever Parking D40D LH (AC-42339-44510-00),1.1458,1.1146,0.0312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,,Jul,IMN,0.03125,2.727352068423809
724,Rack 1,2024-07-08T00:00:00.000,2,1.12.6.21.35,288,SSY KIC 2PBH,Kick 2PHB 14K147,1,0.9931,0.0069,0,0,0,0,0.006944444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,SSY,0.006944444444444444,0.6944444444444444
725,Rack 1,2024-07-08T00:00:00.000,2,1.24.1.7.8,480,IMN LEV PAR D40L RH,Lever Parking D40L RH (52-42355-44510) BLACK,1,0.975,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,,Jul,IMN,0.025,2.5
726,Rack 1,2024-07-08T00:00:00.000,2,1.24.22.14.10,480,IMN LEV PAR D40L RH,Lever Parking D40L RH (52-42355-44510) BLACK,1,0.8042,0.1958,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04583333333333333,0,0,0,0,0,,Jul,IMN,0.19583333333333333,19.583333333333332
